               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10571,            0.048263,                   0,          9.2593e-05,           0.0082645,           4.701e-05,          1.0351e-05,            0.091425,            0.056394,                   0,            0.070167,           0.0033148,           0.0033148
                   1,             0.10099,            0.048709,                   0,          0.00038889,            0.034711,          0.00020379,          5.0355e-05,            0.090601,            0.053653,                   0,            0.040035,           0.0065165,           0.0065165
                   2,             0.10025,            0.046773,                   0,              0.0035,              0.3124,           0.0023069,          0.00057873,            0.093913,            0.046613,                   0,           0.0097714,           0.0095862,           0.0095862
                   3,             0.10089,            0.043648,                   0,           0.0043333,             0.38678,           0.0037864,          0.00087652,            0.089878,            0.050742,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.098991,            0.041686,                   0,           0.0047222,             0.42149,            0.011842,            0.002248,            0.088138,            0.050825,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.096208,            0.041136,                   0,           0.0051852,             0.46281,           0.0085882,           0.0021918,            0.085918,            0.051057,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.096185,            0.042088,                   0,           0.0092384,             0.40992,            0.017463,           0.0043859,            0.084503,            0.050434,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.094143,            0.042593,                   0,            0.021217,             0.26612,            0.019518,           0.0049882,            0.082359,            0.050901,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.093507,             0.04244,                   0,             0.10314,             0.05124,             0.01991,           0.0049838,            0.084315,            0.049891,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.092507,            0.041732,                   0,            0.020002,             0.27273,            0.027026,           0.0073843,            0.081916,            0.050502,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.09074,            0.041717,                   0,           0.0033704,             0.30083,           0.0059718,           0.0015529,            0.090206,            0.055233,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.087571,            0.040533,                   0,             0.11198,            0.064463,            0.026384,           0.0088628,            0.082431,            0.050708,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.087633,            0.041892,                   0,             0.22642,             0.11079,            0.067678,            0.017698,            0.078241,            0.049079,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.086878,            0.040962,                   0,           0.0023201,             0.20661,           0.0036226,           0.0010447,            0.090934,            0.059574,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.084177,            0.039314,                   0,              0.2421,              0.1157,             0.10262,            0.031507,            0.073138,             0.04833,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.083339,            0.041157,                   0,            0.079166,             0.08595,            0.025592,             0.00721,            0.083292,            0.051299,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.080434,            0.040379,                   0,             0.13235,            0.090909,            0.044801,            0.012233,            0.080821,            0.072715,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.079641,            0.039439,                   0,             0.17566,             0.13058,            0.063344,            0.019652,            0.077162,            0.049506,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.077672,            0.038207,                   0,              0.2745,             0.20826,             0.13628,            0.044842,            0.068771,            0.047516,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.075198,            0.039112,                   0,             0.32109,              0.1686,             0.14105,            0.046571,            0.071344,            0.048777,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.075103,            0.038501,                   0,             0.24984,            0.080992,            0.085761,            0.029925,            0.076995,            0.056653,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.07263,            0.037623,                   0,             0.22701,             0.13388,              0.1009,            0.025208,            0.077253,             0.04456,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.072152,             0.03576,                   0,             0.35412,             0.26916,              0.2261,            0.072747,            0.062206,            0.045036,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.068299,            0.037168,                   0,             0.47351,             0.30248,             0.28277,            0.093004,            0.061599,            0.042671,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.068023,            0.035938,                   0,             0.47431,             0.33719,             0.30195,             0.10036,            0.059549,            0.041734,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.066104,            0.035042,                   0,             0.43841,             0.19339,              0.1637,            0.057198,            0.076058,            0.047595,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.063978,            0.035564,                   0,             0.37128,            0.028099,            0.035267,            0.011104,            0.091963,            0.063458,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.063194,            0.034598,                   0,              0.6517,             0.43802,             0.47541,             0.17797,             0.05513,            0.036285,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.060534,            0.032341,                   0,             0.37959,             0.18347,             0.17995,            0.060448,            0.074344,            0.041238,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.060098,            0.032867,                   0,              0.3398,             0.13223,             0.10816,             0.04008,            0.080071,            0.047534,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.059201,            0.033446,                   0,             0.39347,             0.14262,             0.14163,            0.051111,            0.078279,            0.056697,                   0,            0.004258,            0.004258,            0.004258
                  31,             0.05779,            0.030826,                   0,             0.54651,             0.27769,              0.3282,             0.12269,            0.060429,            0.048233,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.056654,            0.031352,                   0,             0.52552,             0.22884,             0.24091,            0.093141,            0.073699,            0.043571,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.054638,            0.030382,                   0,              0.5317,             0.21322,             0.22055,            0.085691,            0.072834,            0.049964,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.053921,            0.029606,                   0,             0.83142,              0.5951,             0.70337,             0.28981,            0.047622,            0.031787,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.053165,            0.027814,                   0,             0.79186,             0.59112,             0.68366,             0.27275,            0.046955,            0.032435,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.053112,            0.029862,                   0,             0.63065,              0.4064,             0.45977,              0.1753,             0.05428,             0.04216,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.051896,            0.029293,                   0,             0.36267,            0.046281,             0.05232,            0.020298,            0.092604,            0.063276,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.051063,            0.028496,                   0,             0.77415,              0.6562,             0.71079,             0.28729,            0.044746,            0.031593,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.049546,            0.027756,                   0,             0.88557,             0.65238,             0.77223,             0.33154,            0.042454,            0.029254,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.049878,            0.026969,                   0,             0.57485,             0.25925,             0.27415,             0.11064,            0.069562,            0.044828,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.049093,            0.027577,                   0,             0.84166,             0.66446,             0.76173,              0.3147,            0.043528,             0.02982,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.047717,            0.027197,                   0,             0.74358,             0.55702,             0.63061,             0.25727,            0.047043,             0.03715,                   0,            0.001882,            0.001882,            0.001882
