               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089874,            0.013743,                   0,          0.00011111,           0.0099174,          5.6284e-05,          9.3642e-06,             0.07523,            0.014037,                   0,            0.070333,           0.0032963,           0.0032963
                   1,            0.081577,            0.016555,                   0,           0.0020556,             0.18347,           0.0012564,          0.00026491,            0.067536,            0.016598,                   0,            0.039677,           0.0059733,           0.0059733
                   2,             0.07498,            0.017584,                   0,             0.12205,            0.050555,            0.032055,           0.0072418,             0.05809,            0.017956,                   0,           0.0083607,           0.0079903,           0.0079903
                   3,            0.060443,             0.01786,                   0,             0.28554,              0.4122,             0.22408,            0.051675,            0.046309,             0.01658,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.056305,            0.016064,                   0,             0.24392,             0.33223,             0.16711,             0.04133,            0.044565,            0.014992,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.049299,            0.015343,                   0,             0.49051,             0.56014,             0.50361,             0.18062,            0.034493,            0.014788,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.045185,            0.015355,                   0,             0.60303,             0.60661,             0.58392,             0.19299,              0.0331,            0.015045,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.042959,            0.014823,                   0,              0.7067,             0.62924,             0.66988,             0.25231,            0.031694,            0.013937,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.040116,            0.014047,                   0,             0.71171,             0.66446,             0.68796,             0.25954,            0.029855,            0.013668,                   0,             0.00307,             0.00307,             0.00307
                   9,             0.03864,            0.013771,                   0,             0.68867,             0.72727,             0.72016,             0.28348,            0.028344,             0.01351,                   0,             0.00208,             0.00208,             0.00208
